Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Red Bluff, CA Micro Area",310M600US39780,48810,13146,64627,7808
"Redding, CA Metro Area",310M600US39820,61125,4146,86007,5678
"Reno, NV Metro Area",310M600US39900,76182,2693,103521,4380
"Rexburg, ID Micro Area",310M600US39940,59729,3801,79414,9440
"Richmond, IN Micro Area",310M600US39980,50138,4550,68997,12207
"Richmond, VA Metro Area",310M600US40060,74151,2025,100320,2529
"Richmond-Berea, KY Micro Area",310M600US40080,51237,5245,67468,5157
"Rio Grande City-Roma, TX Micro Area",310M600US40100,33367,9209,47153,5946
"Riverside-San Bernardino-Ontario, CA Metro Area",310M600US40140,77018,1484,98702,1554
"Roanoke, VA Metro Area",310M600US40220,59630,2390,81995,4229
"Roanoke Rapids, NC Micro Area",310M600US40260,35618,4965,51780,5774
"Rochester, MN Metro Area",310M600US40340,80434,3790,112407,5837
"Rochester, NY Metro Area",310M600US40380,66516,1559,89051,2552
"Rockford, IL Metro Area",310M600US40420,56746,2793,75176,3268
"Rocky Mount, NC Metro Area",310M600US40580,51769,4114,70047,5578
"Rome, GA Metro Area",310M600US40660,60825,3112,77767,6471
