Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Buena Park city, California",1600000US0608786,68656,13536,82212,8300
"San Leandro city, California",1600000US0668084,59070,6504,82855,7149
"Alhambra city, California",1600000US0600884,51641,2879,74909,7406
"Norwalk city, California",1600000US0652526,58957,5481,71981,4503
"Santa Monica city, California",1600000US0670000,85062,6425,124587,10353
"South Gate city, California",1600000US0673080,45438,4991,58543,4528
"West Covina city, California",1600000US0684200,78140,5483,90500,4384
"Garden Grove city, California",1600000US0629000,58123,4396,72690,3808
"Laguna Niguel city, California",1600000US0639248,86662,9793,118900,11683
"Yorba Linda city, California",1600000US0686832,121102,14301,147566,12479
"Santa Maria city, California",1600000US0669196,52170,6497,64547,3924
"Santa Barbara city, California",1600000US0669070,64414,5445,95889,7383
"Surprise city, Arizona",1600000US0471510,65688,3807,72281,3275
"Goodyear city, Arizona",1600000US0428380,73164,5729,88027,6515
"Dothan city, Alabama",1600000US0121184,44208,2572,64798,3705
"Shreveport city, Louisiana",1600000US2270000,38497,3370,56803,3633
"Silver Spring CDP, Maryland",1600000US2472450,67623,10462,91305,6551
"Germantown CDP, Maryland",1600000US2432025,85091,7952,109935,9193
"Overland Park city, Kansas",1600000US2053775,81144,4209,102567,4112
"Olathe city, Kansas",1600000US2052575,80242,3568,101306,7386
